name,description,alcohol_percentage,bitterness,country,taste_tags,beer_type,style
Kasztelan,"Kasztelan — это польское пиво, известное своим мягким и освежающим вкусом. Оно обладает сбалансированным ароматом солода и хмеля, что делает его популярным выбором среди любителей легких лагеров. Пиво имеет светло-золотистый цвет и умеренную карбонизацию, что придает ему приятную текстуру. Kasztelan подходит для различных поводов, от дружеских встреч до семейных праздников. Его легкость и доступность делают его популярным выбором в Польше и за ее пределами.",5.7,низкая,Польша,"освежающее, легкое, солодовое",светлое,лагер
Harnas,"Harnas - это польское пиво, известное своим освежающим вкусом и легким характером. Оно обладает золотистым цветом и умеренной пеной. Пиво имеет мягкий солодовый вкус с легкими нотками хмеля, что делает его приятным для повседневного употребления. Harnas часто выбирают за его доступность и универсальность, подходящую для различных случаев.",5.0,низкая,Польша,"освежающее, легкое, солодовое, хмелевое",светлое,лагер
Carlsberg Безалкогольное,"Carlsberg Безалкогольное - это освежающее безалкогольное пиво, которое сохраняет классический вкус и аромат традиционного лагера. Оно обладает легким и освежающим вкусом с нотками солода и хмеля, что делает его идеальным выбором для тех, кто хочет насладиться пивом без алкоголя. Это пиво подходит для различных случаев, будь то обед с друзьями или отдых на природе. Благодаря своему сбалансированному вкусу, оно понравится как любителям пива, так и тем, кто предпочитает безалкогольные напитки.",0.0,низкая,Дания,"освежающее, легкое, сбалансированное",светлое,лагер
Балтика 0 Пшеничное,"Балтика 0 Пшеничное - это безалкогольное пиво, которое предлагает насыщенный вкус и аромат, характерный для пшеничных сортов. Оно обладает легким и освежающим характером с нотами цитрусовых и банана, что делает его идеальным выбором для тех, кто ищет безалкогольную альтернативу традиционным пивам. Пиво имеет мягкую текстуру и приятное послевкусие, что делает его подходящим для различных гастрономических сочетаний.",0,низкая,Россия,"освежающее, цитрусовое, банановое, мягкое",светлое,пшеничное
Clausthaler Original,"Clausthaler Original - это безалкогольное пиво, произведенное в Германии. Оно известно своим насыщенным вкусом и золотистым цветом. Пиво обладает легким ароматом хмеля и солода, что делает его освежающим и приятным на вкус. Clausthaler Original является одним из самых популярных безалкогольных сортов пива в мире, благодаря своему качеству и традиционному процессу пивоварения. Оно идеально подходит для тех, кто хочет насладиться вкусом пива без алкоголя.",менее 0.5,низкая,Германия,"безалкогольное, освежающее, легкий хмель, солод",светлое,лагер
Erdinger Alkoholfrei,"Erdinger Alkoholfrei - это безалкогольное пиво, произведенное в Германии. Оно отличается освежающим вкусом и легким ароматом солода. Это пиво идеально подходит для тех, кто хочет насладиться вкусом пива без алкоголя. Erdinger Alkoholfrei также содержит витамины и минералы, что делает его популярным среди спортсменов и активных людей. Его мягкий и сбалансированный вкус делает его отличным выбором для любого времени дня.",0.4,низкая,Германия,"освежающее, легкое, сбалансированное",светлое,вайсбир
Holsten 0.0,"Holsten 0.0 — это безалкогольное пиво, которое сохраняет классический вкус и аромат традиционного лагера. Оно обладает легким и освежающим характером, что делает его идеальным выбором для тех, кто хочет насладиться вкусом пива без алкоголя. Пиво имеет светлый золотистый цвет и умеренную пену. Вкус сбалансирован с легкими солодовыми и хмелевыми нотами, что придает ему приятную горечь и свежесть.",0.0,низкая,Германия,"безалкогольное, освежающее, легкое, солодовое, хмелевое",светлое,лагер
Heineken 0.0,"Heineken 0.0 — это безалкогольное пиво, созданное для тех, кто хочет наслаждаться вкусом пива без содержания алкоголя. Оно обладает освежающим вкусом с легкими фруктовыми нотками и характерным солодовым ароматом. Пиво имеет сбалансированный вкус с легкой горечью и чистым послевкусием. Heineken 0.0 производится с использованием тех же высококачественных ингредиентов, что и классическое Heineken, но с применением специального процесса удаления алкоголя.",0.0,низкая,Нидерланды,"освежающее, фруктовые нотки, легкая горечь, солодовый аромат",светлое,лагер
Estrella Damm,"Estrella Damm — это классический испанский лагер, который производится с 1876 года. Он отличается чистым и освежающим вкусом с легкими нотками солода и хмеля. Пиво имеет золотистый цвет и обладает мягким, сбалансированным вкусом, который делает его идеальным для жарких летних дней. Estrella Damm хорошо сочетается с разнообразными блюдами, от тапас до морепродуктов. Это пиво популярно как в Испании, так и за ее пределами благодаря своему качеству и традициям.",5.4,низкая,Испания,"освежающее, легкое, сбалансированное, солодовое, хмелевое",светлое,лагер
San Miguel,"San Miguel - это популярное испанское пиво, известное своим освежающим вкусом и легким характером. Оно обладает золотистым цветом и мягким ароматом солода с легкими нотками хмеля. Это пиво идеально подходит для жарких дней и отлично сочетается с разнообразными блюдами. San Miguel имеет сбалансированный вкус с легкой горечью и чистым послевкусием.",5.0,низкая,Испания,"освежающее, легкое, сбалансированное",светлое,лагер
Mahou Cinco Estrellas,"Mahou Cinco Estrellas — это классический испанский лагер, который известен своим сбалансированным вкусом и освежающим характером. Пиво обладает золотистым цветом и легкой пеной. Оно отличается мягким вкусом с легкими нотками солода и хмеля, что делает его идеальным для жарких летних дней. Это пиво популярно как в Испании, так и за ее пределами благодаря своему универсальному вкусу и качеству. Mahou Cinco Estrellas часто выбирают как сопровождение к различным блюдам, от тапас до более сытных мясных блюд.",5.1,низкая,Испания,"сбалансированный, освежающий, легкий, солодовый",светлое,лагер
Cruzcampo,"Cruzcampo - это популярное испанское пиво, известное своим освежающим вкусом и легким характером. Оно обладает светло-золотистым цветом и мягкой пеной. Вкус пива сбалансирован, с легкими нотками солода и хмеля, что делает его идеальным для жаркой погоды. Cruzcampo часто подают охлажденным, чтобы подчеркнуть его освежающие качества. Это пиво подходит для различных блюд, включая тапас и морепродукты.",4.8,низкая,Испания,"освежающее, легкое, солодовое, хмелевое",светлое,лагер
Alhambra Reserva 1925,"Alhambra Reserva 1925 - это премиальное испанское пиво, известное своим богатым и сложным вкусом. Оно обладает насыщенным золотистым цветом и плотной пеной. В аромате присутствуют нотки солода и карамели, которые дополняются легкими фруктовыми оттенками. Вкус сбалансированный, с легкой сладостью и умеренной горечью, что делает его приятным для питья. Это пиво идеально подходит для сочетания с разнообразными блюдами, от мясных до сырных закусок.",6.4,средняя,Испания,"солод, карамель, фрукты, сбалансированный, умеренная горечь",светлое,лагер
Sagres,"Sagres - это португальское пиво, известное своим освежающим вкусом и легким характером. Оно производится с использованием лучших ингредиентов, что придает ему чистый и сбалансированный вкус. Это пиво идеально подходит для жарких летних дней и отлично сочетается с разнообразными блюдами. Sagres обладает легкой горечью и мягким послевкусием, что делает его популярным выбором среди любителей лагеров.",5,низкая,Португалия,"освежающее, легкое, чистое",светлое,лагер
Super Bock,"Super Bock - это популярное португальское пиво, известное своим освежающим вкусом и сбалансированным профилем. Оно обладает легким солодовым ароматом с нотками хмеля, что делает его идеальным для жарких летних дней. Super Bock имеет золотистый цвет и чистый, мягкий вкус с легкой горечью. Это пиво часто выбирают для неформальных встреч и вечеринок благодаря его универсальности и доступности. Super Bock является одним из самых продаваемых пив в Португалии и экспортируется в более чем 50 стран мира.",5.2,низкая,Португалия,"освежающее, легкое, солодовое, хмелевое",светлое,лагер
Guinness Foreign Extra,"Guinness Foreign Extra Stout — это крепкий стаут с насыщенным вкусом, который отличается глубоким темным цветом и плотной кремовой пеной. Этот сорт пива обладает сложным ароматом с нотами кофе, шоколада и карамели, дополненными легкой фруктовой кислинкой. Вкус богатый и интенсивный, с выраженной горечью и длительным послевкусием. Guinness Foreign Extra был создан для экспорта и имеет более высокий процент алкоголя, что делает его более стойким к длительным перевозкам. Это пиво идеально подходит для тех, кто ищет насыщенные и сложные вкусовые ощущения.",7.5,высокая,Ирландия,"кофе, шоколад, карамель, фруктовая кислинка, горечь",темное,стаут
Guinness 0.0,"Guinness 0.0 - это безалкогольная версия знаменитого ирландского стаута. Она сохраняет характерный насыщенный вкус и кремовую текстуру оригинального Guinness, но без содержания алкоголя. Пиво обладает глубоким темным цветом с характерной пеной и нотами обжаренного ячменя, шоколада и кофе. Это идеальный выбор для тех, кто хочет насладиться вкусом Guinness без алкоголя. Guinness 0.0 также отличается низким содержанием калорий, что делает его подходящим для тех, кто следит за своим рационом.",0.0,средняя,Ирландия,"безалкогольное, обжаренный ячмень, шоколад, кофе, кремовая текстура",темное,стаут
Bavaria Original,"Bavaria Original - это освежающее светлое пиво, произведенное в Нидерландах. Оно отличается чистым и мягким вкусом с легкими нотками солода и хмеля. Пиво обладает сбалансированной горечью и приятным послевкусием. Bavaria Original идеально подходит для тех, кто ценит классический вкус лагера. Это пиво часто выбирают для повседневного употребления благодаря его легкости и доступности.",5.0,низкая,Нидерланды,"освежающее, легкое, сбалансированное",светлое,лагер
Bavaria 0.0 IPA,"Bavaria 0.0 IPA - это безалкогольное пиво, которое предлагает насыщенный вкус и аромат, характерный для традиционного IPA. Оно обладает фруктовыми и хмелевыми нотами, создавая освежающий и сбалансированный профиль. Это пиво идеально подходит для тех, кто хочет насладиться вкусом IPA без алкоголя. Благодаря использованию специальных сортов хмеля, оно сохраняет характерную горечь и аромат, присущие этому стилю.",0.0,высокая,Нидерланды,"фруктовое, хмелевое, освежающее, безалкогольное",светлое,IPA
Heineken Silver,"Heineken Silver - это более легкая и освежающая версия классического Heineken. Оно обладает мягким вкусом с легкими фруктовыми нотками и чистым послевкусием. Это пиво идеально подходит для тех, кто ищет освежающий напиток с меньшей горечью. Благодаря своему сбалансированному вкусу, оно легко пьется и подходит для различных поводов.",4.0,низкая,Нидерланды,"легкое, освежающее, фруктовое, мягкое",светлое,лагер
Beck’s Blue,"Beck’s Blue — это безалкогольное пиво, которое сохраняет традиционный вкус и аромат классического лагера. Оно обладает освежающим и легким вкусом с нотками солода и хмеля. Это пиво идеально подходит для тех, кто хочет насладиться вкусом пива без содержания алкоголя. Beck’s Blue производится с использованием тех же высококачественных ингредиентов, что и обычное пиво Beck’s, но с удалением алкоголя после процесса брожения.",0.0,низкая,Германия,"освежающее, легкое, солодовое, хмелевое, безалкогольное",светлое,лагер
Michelob Ultra,"Michelob Ultra - это легкое пиво, известное своим низким содержанием калорий и углеводов. Оно обладает освежающим вкусом с легкими нотками солода и хмеля. Пиво идеально подходит для тех, кто следит за своим здоровьем и предпочитает более легкие напитки. Michelob Ultra часто выбирают для активного образа жизни благодаря его легкости и освежающему вкусу. Это пиво имеет чистый и гладкий финиш, что делает его популярным выбором среди любителей легких лагеров.",4.2,низкая,США,"легкое, освежающее, низкокалорийное, гладкий финиш",светлое,лагер
Bud Alcohol Free,"Bud Alcohol Free - это безалкогольная версия знаменитого Budweiser, которая сохраняет характерный вкус и аромат оригинала. Это пиво предлагает освежающий и легкий профиль, идеально подходящий для тех, кто хочет насладиться вкусом пива без алкоголя. Оно обладает мягким солодовым вкусом с легкими нотками хмеля и зерна. Пиво имеет светло-золотистый цвет и чистый, освежающий финиш. Bud Alcohol Free подходит для различных мероприятий и может быть отличным выбором для тех, кто предпочитает безалкогольные напитки.",0.0,низкая,США,"освежающее, легкое, солодовое, безалкогольное",светлое,лагер
Edelweiss Weissbier,"Edelweiss Weissbier - это традиционное австрийское пшеничное пиво, известное своим мягким и освежающим вкусом. Оно обладает фруктовыми и пряными нотками, с легким ароматом банана и гвоздики. Это нефильтрованное пиво имеет естественную мутность и кремовую пену. Edelweiss Weissbier идеально подходит для летних дней благодаря своему легкому и освежающему характеру.",5.3,низкая,Австрия,"фруктовое, пряное, освежающее, банан, гвоздика",светлое,вайсбир
Clausthaler Dry-Hopped,"Clausthaler Dry-Hopped - это безалкогольное пиво, которое сочетает в себе традиции немецкого пивоварения с современными методами. Оно обладает насыщенным вкусом с нотами цитрусовых и травянистым ароматом, благодаря использованию хмеля Cascade. Это пиво отличается освежающим и сбалансированным профилем, который делает его отличным выбором для тех, кто ищет безалкогольный вариант с характером.",0.5,средняя,Германия,"цитрусовый, травянистый, освежающий, безалкогольный",светлое,безалкогольное пиво
Paulaner 0.0%,"Paulaner 0.0% - это безалкогольное пиво, которое предлагает освежающий вкус с характерными нотками солода и хмеля. Оно сохраняет традиционный вкус пива, несмотря на отсутствие алкоголя. Это пиво идеально подходит для тех, кто хочет насладиться вкусом пива без алкогольного эффекта. Paulaner 0.0% обладает легким и освежающим характером, что делает его отличным выбором для жарких дней или в качестве сопровождения к легким блюдам.",0.0,низкая,Германия,"освежающее, легкое, солодовое, хмелевое, безалкогольное",светлое,лагер
Schöfferhofer Grapefruit,"Schöfferhofer Grapefruit - это освежающий напиток, сочетающий в себе пшеничное пиво и натуральный сок грейпфрута. Он обладает ярким цитрусовым ароматом и сладким, слегка кисловатым вкусом, который идеально подходит для жарких летних дней. Это пиво отличается легкостью и низким содержанием алкоголя, что делает его популярным выбором для тех, кто ищет что-то необычное и освежающее. Schöfferhofer Grapefruit часто подают охлажденным и без добавления льда, чтобы сохранить его оригинальный вкус.",2.5,низкая,Германия,"цитрусовый, освежающий, сладкий, фруктовый",светлое,радлер
Schöfferhofer Hefeweizen,"Schöfferhofer Hefeweizen - это освежающее пшеничное пиво с характерным фруктовым ароматом и легкой кислинкой. Оно обладает мягким вкусом с нотками банана и гвоздики, что делает его идеальным для теплых дней. Это нефильтрованное пиво, что придает ему мутный вид и насыщенный вкус. Schöfferhofer Hefeweizen производится в Германии и является популярным выбором среди любителей пшеничного пива. Его легкая текстура и освежающий характер делают его подходящим для различных случаев.",5.0,низкая,Германия,"фруктовое, освежающее, мягкое, банан, гвоздика",светлое,Hefeweizen
Hacker-Pschorr Hefe Weissbier,"Hacker-Pschorr Hefe Weissbier - это классическое немецкое пшеничное пиво, известное своим насыщенным и освежающим вкусом. Оно обладает характерным фруктовым ароматом с нотками банана и гвоздики, которые создаются благодаря использованию специального штамма дрожжей. Пиво имеет мутный золотистый цвет и кремовую пену. Это пиво идеально подходит для тех, кто ищет легкое и освежающее пиво с мягким вкусом.",5.5,низкая,Германия,"фруктовое, освежающее, банан, гвоздика, мягкое",светлое,Hefeweizen
Ayinger Celebrator Doppelbock,"Ayinger Celebrator Doppelbock - это классическое немецкое пиво стиля доппельбок, известное своим насыщенным и сложным вкусом. Оно обладает глубоким темным цветом и плотной кремовой пеной. В аромате доминируют ноты карамели, темных фруктов и легкие оттенки шоколада. Вкус богатый и сладковатый, с выраженными солодовыми нотами и легкой горечью в послевкусии. Это пиво идеально подходит для холодных зимних вечеров благодаря своему согревающему эффекту.",6.7,низкая,Германия,"сладкое, карамельное, фруктовое, шоколадное, согревающее",темное,доппельбок
Weihenstephaner Hefeweissbier,"Weihenstephaner Hefeweissbier - это классическое немецкое пшеничное пиво, известное своим освежающим вкусом и мягкой текстурой. Оно обладает характерным фруктовым ароматом с нотами банана и гвоздики, которые дополняются легкой кислинкой. Это пиво имеет мутный золотистый цвет и густую пену. Благодаря своему сбалансированному вкусу и ароматам, оно идеально подходит для теплых летних дней.",5.4,низкая,Германия,"фруктовое, освежающее, банан, гвоздика, мягкое",светлое,Hefeweizen
Weihenstephaner Original,"Weihenstephaner Original - это классический немецкий лагер, который производится на старейшей пивоварне в мире, Weihenstephan. Пиво обладает чистым и освежающим вкусом с легкими нотками солода и хмеля. Оно отличается сбалансированным профилем с мягкой горечью и легким сладковатым послевкусием. Weihenstephaner Original идеально подходит для тех, кто ценит традиционные немецкие лагеры.",5.1,низкая,Германия,"сбалансированное, освежающее, солодовое, традиционное",светлое,лагер
Andechs Doppelbock Dunkel,"Andechs Doppelbock Dunkel - это традиционное немецкое пиво, известное своим насыщенным и сложным вкусом. Оно обладает глубоким темно-коричневым цветом и густой пеной. В аромате преобладают ноты карамели, шоколада и сухофруктов. Вкус богатый и сладковатый, с легкими оттенками обжаренного солода и орехов. Это пиво имеет плотное тело и мягкую текстуру, что делает его идеальным для холодных вечеров. Оно прекрасно сочетается с мясными блюдами и сырами.",7.1,низкая,Германия,"сладкое, карамель, шоколад, сухофрукты, орехи",темное,доппельбок
Augustiner Helles,"Augustiner Helles - это классический светлый лагер из Мюнхена, известный своим мягким и сбалансированным вкусом. Пиво обладает золотистым цветом и чистым ароматом с нотками солода и легкой сладостью. Оно отличается гладким и освежающим послевкусием, что делает его идеальным для повседневного употребления. Это пиво варится с использованием традиционных методов и высококачественных ингредиентов, что придает ему аутентичный баварский характер.",5.2,низкая,Германия,"сбалансированное, освежающее, сладковатое, солодовое",светлое,лагер
Augustiner Edelstoff,"Augustiner Edelstoff - это классический немецкий лагер, который производится в Мюнхене. Он известен своим чистым и освежающим вкусом, с легкими нотками солода и хмеля. Пиво обладает золотистым цветом и плотной белой пеной. Edelstoff отличается мягким и сбалансированным вкусом, что делает его идеальным выбором для любителей традиционного немецкого пива. Это пиво часто ценится за свою простоту и высокое качество.",5.6,низкая,Германия,"освежающее, сбалансированное, легкое, солодовое",светлое,лагер
Radeberger Pilsner,"Radeberger Pilsner - это классический немецкий пилснер, который производится с 1872 года. Он известен своим чистым, освежающим вкусом и золотистым цветом. Пиво обладает легким ароматом хмеля и сбалансированной горечью, что делает его идеальным для утоления жажды. Оно отличается мягким солодовым вкусом с легкими цветочными и травяными нотками. Radeberger Pilsner часто подается охлажденным и является популярным выбором как в Германии, так и за ее пределами.",4.8,средняя,Германия,"освежающее, хмелевое, солодовое, цветочное, травяное",светлое,пилснер
Jever Pils,"Jever Pils - это классическое немецкое пиво, известное своим освежающим и хрустящим вкусом. Оно обладает ярко выраженной горечью, которая достигается благодаря использованию благородных хмелей. Пиво имеет светло-золотистый цвет и чистый, сухой финиш. Jever Pils идеально подходит для тех, кто ценит традиционный немецкий пилснер с характерным хмелевым профилем. Это пиво часто описывают как освежающее и утоляющее жажду, с легким ароматом солода и травяными нотками.",4.9,высокая,Германия,"горькое, освежающее, хрустящее, травяное",светлое,пилснер
König Pilsener,"König Pilsener - это классическое немецкое пиво, известное своим чистым и освежающим вкусом. Оно обладает светло-золотистым цветом и характерным ароматом хмеля. Это пиво отличается сбалансированной горечью и легким цветочным послевкусием. König Pilsener изготавливается по традиционным рецептам с использованием высококачественного солода и хмеля. Оно идеально подходит для тех, кто ценит классический вкус пилснера.",4.9,средняя,Германия,"освежающее, хмелевое, сбалансированное",светлое,пилснер
Veltins Pilsener,"Veltins Pilsener - это классический немецкий пилснер, известный своим чистым и освежающим вкусом. Пиво обладает светло-золотистым цветом и характерной белой пеной. Оно отличается сбалансированным сочетанием легкой сладости солода и умеренной горечи хмеля, что делает его идеальным для утоления жажды. Аромат свежий, с нотами трав и легкой цитрусовой кислинкой. Это пиво подходит для различных поводов и хорошо сочетается с легкими блюдами.",4.8,средняя,Германия,"освежающее, сбалансированное, хмелевое, солодовое",светлое,пилснер
Wernesgrüner,"Wernesgrüner - это классический немецкий пилснер, который производится с 1436 года. Пиво обладает светло-золотистым цветом и чистым, освежающим вкусом с легкой горечью. Оно отличается сбалансированным ароматом хмеля и солода, что делает его идеальным для утоления жажды. Wernesgrüner имеет мягкую текстуру и приятное послевкусие, которое оставляет ощущение свежести. Это пиво хорошо сочетается с различными блюдами, от легких закусок до более сытных мясных блюд.",4.9,средняя,Германия,"освежающее, сбалансированное, легкая горечь, хмельное, солодовое",светлое,пилснер
Oettinger Pils,"Oettinger Pils - это классический немецкий пилснер, известный своим освежающим вкусом и легким телом. Пиво обладает золотистым цветом и чистым, хрустящим послевкусием. Оно имеет умеренную горечь и легкие нотки солода, что делает его идеальным для утоления жажды. Oettinger Pils производится с использованием традиционных методов пивоварения и высококачественных ингредиентов. Это пиво популярно благодаря своему доступному вкусу и привлекательной цене.",4.7,средняя,Германия,"освежающее, легкое, солодовое, горьковатое",светлое,пилснер
Astra Urtyp,"Astra Urtyp - это классическое немецкое пиво, известное своим сбалансированным вкусом и легкой горечью. Оно обладает золотистым цветом и плотной пеной. В аромате присутствуют нотки солода и легкие цветочные оттенки. Это пиво идеально подходит для тех, кто ценит традиционные немецкие лагеры. Оно освежающее и легко пьется, что делает его отличным выбором для различных поводов.",4.9,средняя,Германия,"сбалансированное, цветочное, солодовое, освежающее",светлое,лагер
Astra Rotlicht,"Astra Rotlicht - это популярное немецкое пиво, известное своим насыщенным вкусом и характерным красноватым оттенком. Оно обладает мягким солодовым профилем с легкими карамельными нотками и умеренной горечью. Это пиво часто выбирают за его сбалансированный вкус и легкость в употреблении. Оно идеально подходит для тех, кто ищет что-то между светлым и темным пивом. Astra Rotlicht имеет долгую историю и является частью культурного наследия Гамбурга.",6.0,средняя,Германия,"солодовое, карамельное, сбалансированное",янтарное,лагер
Astra Rakete,"Astra Rakete - это освежающее пиво с фруктовыми нотками и легким вкусом. Оно отличается своим уникальным сочетанием традиционного пивного вкуса и добавлением лимонного аромата. Это пиво идеально подходит для летнего отдыха и вечеринок. Astra Rakete имеет яркий и запоминающийся вкус, который понравится любителям легких и ароматных напитков.",5.9,низкая,Германия,"фруктовое, освежающее, легкое",светлое,лагер
Karlsberg UrPils,"Karlsberg UrPils - это классический немецкий пилснер, который отличается своим чистым и освежающим вкусом. Пиво обладает светло-золотистым цветом и прозрачностью, характерной для стиля пилснер. В аромате присутствуют легкие нотки хмеля и солода, создавая гармоничный баланс. Вкус пива сухой и хрустящий, с умеренной горечью, что делает его идеальным для утоления жажды. Это пиво хорошо сочетается с различными блюдами, от легких закусок до более насыщенных мясных блюд.",4.8,средняя,Германия,"освежающее, хрустящее, сбалансированное",светлое,пилснер
Lübzer,"Lübzer — это популярное немецкое пиво, известное своим освежающим вкусом и легким характером. Оно производится в городе Любц, расположенном в земле Мекленбург-Передняя Померания. Пиво обладает чистым и мягким вкусом с легкими хмелевыми нотками, что делает его идеальным для утоления жажды. Lübzer часто подается охлажденным и подходит для различных поводов, от пикников до вечеринок. Это пиво ценится за свою простоту и качество, что делает его популярным выбором среди любителей классического немецкого лагера.",4.9,низкая,Германия,"освежающее, легкое, хмелевое, чистое",светлое,лагер
Hasseröder,"Hasseröder — это популярное немецкое пиво, известное своим освежающим вкусом и легкой горечью. Оно производится в регионе Саксония-Анхальт и является одним из самых продаваемых сортов в Германии. Пиво имеет светло-золотистый цвет и чистый, хрустящий вкус, который идеально подходит для утоления жажды. Hasseröder обладает сбалансированным ароматом солода и хмеля, что делает его приятным для широкого круга любителей пива. Это пиво часто выбирают для повседневного употребления благодаря его доступности и универсальности.",4.9,средняя,Германия,"освежающее, легкое, сбалансированное",светлое,лагер
Altenmünster Premium,"Altenmünster Premium - это высококачественное немецкое пиво, известное своим сбалансированным вкусом и традиционным подходом к пивоварению. Оно обладает мягким солодовым профилем с легкими нотками хмеля, что делает его освежающим и приятным для питья. Это пиво идеально подходит для тех, кто ценит классические немецкие лагеры. Altenmünster Premium отличается чистотой вкуса и легкой горечью, что делает его универсальным выбором для различных блюд.",4.9,средняя,Германия,"сбалансированное, солодовое, освежающее, традиционное",светлое,лагер
